SerialNumber,ProductID,ProductName,PurchaseDate,CustomerID,QuantitySold,SalesPrice,SalesChannel,Region,DiscountApplied,Returns,CustomerReview,CustomerComplaints,SalesReputation,TimeToActivation,ProductAge,MarketingSource,CustomerLoyalty,PaymentMethod,ProductReturnReason,CustomerSupportInteraction,ProductWarrantyDuration
SN-J76UYCMW,Adobe_Prod_486_Version_6,Adobe_Adobe_Prod_486_Version_6_Suite,2023-09-15,C3843,10,404.1,Direct Sales,Europe,10.6,4,4,3,7,6,723,Email Marketing,10,PayPal,Found cheaper,6,24
Sn-L7SN36FU,CCEFEF,Adobe_CCEFEF_Suite,2023-11-11,C8036,6,66.14,Third-party Retailer,Europe,20.28,11,3,13,7,8,116,Social Media,3,Cryptocurrency,Other,13,6
Sn-YU12QDCW,NKZW9O,Adobe_NKZW9O_Suite,2023-10-21,C7356,7,104.34,Unknown Vendor,Africa,26.79,15,2,14,9,2,138,Word of Mouth,4,Cryptocurrency,Not as described,11,6
SN-761AR118,Adobe_Prod_862_Version_7,Adobe_Adobe_Prod_862_Version_7_Suite,2023-02-12,C5139,7,406.61,Authorized Retailer,Africa,12.74,3,4,2,9,5,556,Email Marketing,8,Credit Card,Other,7,24
SN-77A6LQ03,Adobe_Prod_317_Version_9,Adobe_Adobe_Prod_317_Version_9_Suite,2023-04-20,C8531,2,401.17,Third-party Retailer,North America,8.64,2,4,1,3,5,584,Email Marketing,10,PayPal,Found cheaper,3,24
SN-FEND7OUZ,Adobe_Prod_833_Version_2,Adobe_Adobe_Prod_833_Version_2_Suite,2023-04-04,C4594,5,449.05,Direct Sales,South America,7.56,3,5,1,1,6,448,Email Marketing,6,Credit Card,Other,1,12
SN-MJK9HVL3,Adobe_Prod_931_Version_6,Adobe_Adobe_Prod_931_Version_6_Suite,2023-09-13,C3709,9,250.52,Direct Sales,South America,10.84,3,5,4,1,2,474,Email Marketing,7,PayPal,Found cheaper,10,12
SN-I90KA1N4,Adobe_Prod_908_Version_2,Adobe_Adobe_Prod_908_Version_2_Suite,2023-10-09,C5733,10,408.91,Authorized Retailer,South America,6.39,1,4,2,2,6,428,Direct Search,9,PayPal,Other,9,24
SN-T6KFKGIE,Adobe_Prod_226_Version_8,Adobe_Adobe_Prod_226_Version_8_Suite,2023-03-11,C2875,8,480.27,Authorized Retailer,Africa,10.38,8,4,5,2,6,706,Email Marketing,7,Credit Card,Other,6,24
SN-OHMEYVLC,Adobe_Prod_60_Version_8,Adobe_Adobe_Prod_60_Version_8_Suite,2023-03-02,C7328,2,457.03,Direct Sales,Asia,8.98,2,5,1,3,4,420,Direct Search,6,PayPal,Found cheaper,2,24
SN-KST7QM09,Adobe_Prod_935_Version_4,Adobe_Adobe_Prod_935_Version_4_Suite,2023-08-07,C8724,10,324.25,Authorized Retailer,North America,11.61,3,5,1,8,2,680,Direct Search,8,PayPal,Found cheaper,7,24
SN-5W83R4M,4QRZD3,Adobe_4QRZD3_Suite,2023-10-23,C6490,4,116.07,Unknown Vendor,Africa,28.82,12,2,18,7,12,77,Word of Mouth,2,Cryptocurrency,Other,14,6
SN-WZ1KYNVL,Adobe_Prod_283_Version_9,Adobe_Adobe_Prod_283_Version_9_Suite,2023-05-13,C1495,4,343.75,Direct Sales,Asia,12.02,9,5,3,7,1,371,Email Marketing,9,PayPal,Other,8,12
SN-HFEF6JHJ,Adobe_Prod_55_Version_7,Adobe_Adobe_Prod_55_Version_7_Suite,2023-09-01,C9066,9,231.75,Authorized Retailer,Asia,8.34,7,4,3,1,3,506,Direct Search,10,Credit Card,Found cheaper,1,24
SN-MCIF1VZY,Adobe_Prod_998_Version_3,Adobe_Adobe_Prod_998_Version_3_Suite,2023-03-15,C2358,7,386.04,Authorized Retailer,Europe,8.82,4,5,4,8,3,536,Direct Search,10,Credit Card,Other,2,24
SNP5ZYAVB1F,MEOOOT,Adobe_MEOOOT_Suite,2023-06-12,C3758,7,70.3,Third-party Retailer,Africa,28.06,11,2,19,9,10,208,Social Media,2,Cryptocurrency,Other,10,6
SN-MVWJWCL,9BJJD4,Adobe_9BJJD4_Suite,2023-06-19,C1396,7,65.01,Third-party Retailer,North America,29.68,17,2,17,2,1,195,Social Media,4,Cryptocurrency,Product malfunction,14,6
SN-2FTP4USX,Adobe_Prod_336_Version_9,Adobe_Adobe_Prod_336_Version_9_Suite,2023-02-13,C4827,5,232.33,Direct Sales,Europe,13.17,1,5,4,1,3,552,Direct Search,9,Credit Card,Found cheaper,1,24
SNYN38P2H6B,ICUG46,Adobe_ICUG46_Suite,2023-12-09,C5941,9,109.26,Authorized Retailer,Asia,28.06,20,2,19,1,3,254,Social Media,2,Cryptocurrency,Other,15,6
Sn-SQJSN9DB,YCBEJ5,Adobe_YCBEJ5_Suite,2023-04-14,C4946,5,149.13,Third-party Retailer,Asia,24.53,17,1,15,8,4,273,Social Media,5,Cryptocurrency,Not as described,11,6
SN-Z4MO9BK5,Adobe_Prod_478_Version_1,Adobe_Adobe_Prod_478_Version_1_Suite,2023-09-02,C8223,5,417.95,Authorized Retailer,Europe,7.17,10,5,5,1,3,524,Direct Search,6,PayPal,Other,5,12
SN-8AXEW8WW,Adobe_Prod_778_Version_9,Adobe_Adobe_Prod_778_Version_9_Suite,2023-07-31,C9022,2,401.9,Direct Sales,South America,8.65,2,5,1,7,1,534,Email Marketing,10,Credit Card,Found cheaper,5,24
SN-5XPM4WPK,Adobe_Prod_588_Version_5,Adobe_Adobe_Prod_588_Version_5_Suite,2023-01-30,C1963,2,248.15,Direct Sales,Africa,13.09,4,5,1,7,5,707,Email Marketing,7,PayPal,Found cheaper,3,24
SN-3YJUIO17,Adobe_Prod_802_Version_2,Adobe_Adobe_Prod_802_Version_2_Suite,2023-06-27,C4608,5,277.64,Third-party Retailer,Europe,9.97,5,5,3,2,2,394,Direct Search,10,Credit Card,Other,7,12
SN-EZHHSK4N,Adobe_Prod_472_Version_9,Adobe_Adobe_Prod_472_Version_9_Suite,2023-07-07,C2357,7,354.37,Direct Sales,South America,13.91,4,4,1,2,5,638,Direct Search,8,PayPal,Other,7,12
Sn-2SLM2WGK,U2T8QJ,Adobe_U2T8QJ_Suite,2023-11-14,C1170,8,108.38,Unknown Vendor,Europe,25.68,20,2,18,8,5,143,Word of Mouth,4,Cryptocurrency,Other,18,6
SN-44LSEB9A,Adobe_Prod_114_Version_6,Adobe_Adobe_Prod_114_Version_6_Suite,2023-12-17,C2724,2,305.52,Authorized Retailer,Asia,13.62,2,4,2,1,4,607,Direct Search,9,PayPal,Other,6,24
SN-85Q9J14,L7IT6K,Adobe_L7IT6K_Suite,2023-09-11,C1797,5,126.41,Third-party Retailer,North America,25.42,17,2,15,2,10,146,Social Media,3,Cryptocurrency,Other,11,6
SN-3RX45ZUC,Adobe_Prod_58_Version_3,Adobe_Adobe_Prod_58_Version_3_Suite,2023-09-13,C7289,10,370.03,Authorized Retailer,Asia,13.04,1,5,5,3,5,694,Direct Search,6,PayPal,Other,4,24
SN-L6AEMFX6,Adobe_Prod_982_Version_7,Adobe_Adobe_Prod_982_Version_7_Suite,2023-05-13,C7422,9,404.18,Direct Sales,North America,10.81,6,4,1,8,1,437,Direct Search,7,PayPal,Found cheaper,9,24
SN-ZR8TJ81X,Adobe_Prod_570_Version_10,Adobe_Adobe_Prod_570_Version_10_Suite,2023-12-16,C9820,4,375.28,Authorized Retailer,South America,9.08,2,5,1,7,5,381,Direct Search,8,PayPal,Found cheaper,6,12
Sn-PRGWVRC2,IYC2BY,Adobe_IYC2BY_Suite,2023-11-05,C1851,2,77.23,Unknown Vendor,Africa,26.09,12,3,17,2,6,174,Social Media,2,Cryptocurrency,Not as described,15,6
SNII0VCGZXK,4N57U1,Adobe_4N57U1_Suite,2023-01-01,C1045,2,99.46,Authorized Retailer,Africa,21.62,19,2,20,8,15,231,Word of Mouth,5,Cryptocurrency,Product malfunction,16,6
SN-FH0CVDTR,Adobe_Prod_790_Version_8,Adobe_Adobe_Prod_790_Version_8_Suite,2023-09-10,C7153,3,391.18,Authorized Retailer,Asia,12.61,10,5,5,9,2,672,Direct Search,7,PayPal,Found cheaper,5,24
Sn-GUBRQL5K,VHCCEE,Adobe_VHCCEE_Suite,2023-05-02,C5088,5,87.29,Direct Sales,Europe,24.18,18,2,12,2,2,291,Word of Mouth,1,Cryptocurrency,Other,12,6
SN-LRXRJO2O,Adobe_Prod_199_Version_10,Adobe_Adobe_Prod_199_Version_10_Suite,2023-08-29,C8800,8,466.08,Direct Sales,North America,7.56,8,4,5,8,6,439,Email Marketing,10,Credit Card,Found cheaper,6,24
SNVNCCHCC98,JXAZJ2,Adobe_JXAZJ2_Suite,2023-12-10,C2561,3,70.56,Third-party Retailer,South America,29.11,14,2,10,9,15,119,Word of Mouth,1,Cryptocurrency,Other,17,6
Sn-M8FHZQAR,D5GYFB,Adobe_D5GYFB_Suite,2023-09-30,C9246,7,124.58,Unknown Vendor,Asia,25.91,10,2,20,2,4,78,Word of Mouth,1,Cryptocurrency,Not as described,17,6
SNSCXZ0K5CU,NF8OUT,Adobe_NF8OUT_Suite,2023-01-17,C9078,8,103.59,Unknown Vendor,Europe,24.72,12,3,14,3,1,212,Word of Mouth,5,Cryptocurrency,Product malfunction,14,6
SN-LQRDWZJ2,Adobe_Prod_322_Version_10,Adobe_Adobe_Prod_322_Version_10_Suite,2023-01-23,C2785,2,270.77,Direct Sales,Europe,13.65,6,5,3,9,1,610,Direct Search,6,PayPal,Found cheaper,8,12
SN-630G8AUE,Adobe_Prod_62_Version_5,Adobe_Adobe_Prod_62_Version_5_Suite,2023-04-02,C3664,10,271.86,Direct Sales,Africa,5.08,2,4,4,7,7,679,Direct Search,6,PayPal,Other,7,24
SN-BTPMSN7Y,Adobe_Prod_530_Version_4,Adobe_Adobe_Prod_530_Version_4_Suite,2023-10-12,C5042,9,237.02,Direct Sales,North America,14.51,3,5,1,3,3,675,Email Marketing,7,Credit Card,Other,1,12
SN-RJ32NQ20,Adobe_Prod_117_Version_1,Adobe_Adobe_Prod_117_Version_1_Suite,2023-05-19,C1507,7,315.38,Direct Sales,Africa,11.77,6,5,1,2,5,505,Email Marketing,8,PayPal,Other,6,24
SNTR4ODXKPI,XLZ38T,Adobe_XLZ38T_Suite,2023-07-21,C2852,4,86.99,Unknown Vendor,South America,27.4,11,3,15,2,1,255,Word of Mouth,5,Cryptocurrency,Not as described,15,6
SN-TYG3T08,CVODDY,Adobe_CVODDY_Suite,2023-11-28,C3396,4,93.23,Unknown Vendor,Europe,22.82,20,2,18,1,14,151,Word of Mouth,3,Cryptocurrency,Product malfunction,14,6
SN-HDIDUPN,KT72PK,Adobe_KT72PK_Suite,2023-11-01,C5847,9,129.08,Unknown Vendor,South America,20.21,20,1,14,1,9,309,Word of Mouth,2,Cryptocurrency,Other,13,6
SN-T2IM8PX,EZMYTP,Adobe_EZMYTP_Suite,2023-09-20,C6476,6,137.02,Unknown Vendor,Africa,21.19,13,3,13,1,14,42,Social Media,3,Cryptocurrency,Other,20,6
SN-R6TQ04WT,Adobe_Prod_160_Version_2,Adobe_Adobe_Prod_160_Version_2_Suite,2023-11-14,C2556,2,377.86,Direct Sales,Africa,13.82,4,5,2,2,2,639,Direct Search,8,Credit Card,Other,2,12
Sn-NEBG962H,8M7FD9,Adobe_8M7FD9_Suite,2023-03-25,C2450,8,115.87,Unknown Vendor,South America,20.2,13,1,10,1,15,112,Social Media,3,Cryptocurrency,Product malfunction,15,6
SN-7EN6H757,Adobe_Prod_873_Version_7,Adobe_Adobe_Prod_873_Version_7_Suite,2023-09-27,C2830,8,455.11,Authorized Retailer,Asia,8.75,3,4,4,8,2,686,Email Marketing,8,Credit Card,Found cheaper,6,12
Sn-A417FU0C,STWJHM,Adobe_STWJHM_Suite,2023-04-02,C3643,10,81.71,Unknown Vendor,South America,26.7,18,3,16,7,2,239,Social Media,5,Cryptocurrency,Other,10,6
Sn-OYNERVU2,RIK2MO,Adobe_RIK2MO_Suite,2023-12-01,C9124,5,98.89,Unknown Vendor,North America,27.15,20,2,18,8,2,238,Word of Mouth,2,Cryptocurrency,Other,10,6
SN-SYVFOTF,XJXIB0,Adobe_XJXIB0_Suite,2023-07-04,C7738,8,141.24,Third-party Retailer,Europe,28.8,18,2,11,1,14,228,Word of Mouth,2,Cryptocurrency,Product malfunction,14,6
SN-K9NU8R9X,Adobe_Prod_823_Version_9,Adobe_Adobe_Prod_823_Version_9_Suite,2023-11-27,C4908,2,462.03,Direct Sales,South America,10.49,5,4,1,9,2,631,Direct Search,6,PayPal,Other,10,24
SN-ITQVOEIM,Adobe_Prod_93_Version_10,Adobe_Adobe_Prod_93_Version_10_Suite,2023-05-22,C4581,4,234.43,Direct Sales,Europe,7.33,6,5,4,1,5,573,Direct Search,8,PayPal,Found cheaper,7,24
SNGHTXYCVZK,EL4OQB,Adobe_EL4OQB_Suite,2023-08-20,C8181,4,67.52,Unknown Vendor,Asia,27.32,15,1,20,8,12,36,Social Media,1,Cryptocurrency,Not as described,20,6
SN-YSHP37LE,Adobe_Prod_235_Version_8,Adobe_Adobe_Prod_235_Version_8_Suite,2023-10-19,C9133,4,367.27,Authorized Retailer,Africa,13.47,4,5,4,2,3,448,Direct Search,9,PayPal,Other,5,24
SN-V02ZQC1,44DZMT,Adobe_44DZMT_Suite,2023-01-05,C4733,6,72.85,Third-party Retailer,Europe,21.2,11,1,20,2,3,271,Social Media,1,Cryptocurrency,Other,11,6
SN-6VGGHHW6,Adobe_Prod_131_Version_8,Adobe_Adobe_Prod_131_Version_8_Suite,2023-10-29,C4476,2,472.92,Authorized Retailer,Africa,12.22,10,4,4,2,2,726,Direct Search,8,Credit Card,Found cheaper,6,12
SN-Z00IMZFR,Adobe_Prod_724_Version_4,Adobe_Adobe_Prod_724_Version_4_Suite,2024-01-01,C2437,3,283.82,Direct Sales,South America,14.35,10,4,3,7,5,497,Direct Search,8,Credit Card,Found cheaper,4,12
SNINC6URV1V,LHN3O4,Adobe_LHN3O4_Suite,2023-02-22,C5004,5,65.94,Unknown Vendor,Asia,22.61,10,3,10,7,13,216,Social Media,3,Cryptocurrency,Not as described,12,6
SNSUWNQCJHF,A6BHHK,Adobe_A6BHHK_Suite,2023-06-16,C5559,1,144.06,Third-party Retailer,Asia,24.25,18,3,15,8,5,339,Social Media,1,Cryptocurrency,Other,15,6
SN-3JXQ0NX,UOQGLS,Adobe_UOQGLS_Suite,2023-11-25,C2978,4,86.06,Unknown Vendor,North America,22.57,17,3,12,2,8,61,Word of Mouth,1,Cryptocurrency,Not as described,12,6
SN-K6TT2A4C,Adobe_Prod_631_Version_2,Adobe_Adobe_Prod_631_Version_2_Suite,2023-09-15,C5346,9,300.25,Authorized Retailer,Africa,9.58,6,5,5,9,7,557,Email Marketing,7,Credit Card,Other,3,12
SN-XCKY4HK,SOXMX5,Adobe_SOXMX5_Suite,2023-11-28,C4094,1,79.67,Unknown Vendor,South America,29.47,19,1,20,7,8,214,Word of Mouth,4,Cryptocurrency,Other,19,6
SN-AD074VLU,Adobe_Prod_34_Version_3,Adobe_Adobe_Prod_34_Version_3_Suite,2023-06-04,C1574,3,445.31,Authorized Retailer,Europe,11.08,4,4,3,7,7,388,Email Marketing,9,PayPal,Other,4,12
Sn-JFE7SMGO,ZXODAL,Adobe_ZXODAL_Suite,2023-05-22,C1159,10,54.94,Third-party Retailer,South America,28.9,20,2,10,8,15,316,Word of Mouth,3,Cryptocurrency,Not as described,20,6
SN-38P53JTW,Adobe_Prod_449_Version_9,Adobe_Adobe_Prod_449_Version_9_Suite,2023-09-09,C4087,4,205.13,Authorized Retailer,Europe,13.31,7,4,2,1,2,567,Direct Search,8,Credit Card,Other,8,12
SN-IQRNTG6Q,Adobe_Prod_176_Version_6,Adobe_Adobe_Prod_176_Version_6_Suite,2023-05-04,C4970,4,371.44,Authorized Retailer,Africa,13.61,4,4,3,9,6,728,Direct Search,7,PayPal,Found cheaper,7,24
SN-4J2RJ9L4,Adobe_Prod_435_Version_6,Adobe_Adobe_Prod_435_Version_6_Suite,2023-01-14,C4965,3,495.75,Direct Sales,Europe,11.4,8,4,5,7,5,671,Direct Search,6,Credit Card,Found cheaper,2,24
Sn-INP7VAVH,502R10,Adobe_502R10_Suite,2023-11-07,C4040,8,60.97,Unknown Vendor,North America,25.63,16,2,18,3,8,231,Social Media,2,Cryptocurrency,Product malfunction,11,6
SN-DZ2R9WTK,Adobe_Prod_445_Version_1,Adobe_Adobe_Prod_445_Version_1_Suite,2023-01-12,C2814,8,267.08,Authorized Retailer,Asia,10.77,6,5,1,8,5,579,Email Marketing,10,PayPal,Found cheaper,10,12
Sn-FM2Q2E8R,2GWH9P,Adobe_2GWH9P_Suite,2023-05-06,C1969,10,78.98,Unknown Vendor,Europe,24.63,19,2,18,8,9,104,Social Media,4,Cryptocurrency,Not as described,12,6
SN-6KBFRHQ2,Adobe_Prod_657_Version_8,Adobe_Adobe_Prod_657_Version_8_Suite,2023-05-12,C2652,10,377.25,Direct Sales,Europe,12.7,3,5,4,3,6,716,Email Marketing,8,Credit Card,Other,5,24
SN-MTJW90BS,Adobe_Prod_980_Version_1,Adobe_Adobe_Prod_980_Version_1_Suite,2023-06-04,C6688,3,281.76,Direct Sales,North America,14.64,1,5,2,3,7,665,Direct Search,9,Credit Card,Found cheaper,8,12
Sn-CPVWL3F0,MYVJT2,Adobe_MYVJT2_Suite,2023-05-28,C6874,6,65.17,Unknown Vendor,Asia,29.01,17,2,13,3,13,52,Word of Mouth,3,Cryptocurrency,Other,17,6
SN-XXFFFUWS,Adobe_Prod_257_Version_2,Adobe_Adobe_Prod_257_Version_2_Suite,2023-08-01,C7268,6,293.78,Authorized Retailer,Asia,12.88,1,5,2,3,2,478,Email Marketing,10,PayPal,Found cheaper,10,12
SNINHWM928A,9LNNQ4,Adobe_9LNNQ4_Suite,2023-01-02,C4656,4,144.55,Third-party Retailer,Europe,23.76,12,2,20,3,6,214,Word of Mouth,3,Cryptocurrency,Not as described,13,6
SN7OHW6L98T,6CBQYV,Adobe_6CBQYV_Suite,2023-01-11,C5903,8,112.67,Third-party Retailer,Africa,26.09,14,3,10,3,13,92,Word of Mouth,5,Cryptocurrency,Not as described,10,6
SN-WWI5FXI,E14Y74,Adobe_E14Y74_Suite,2023-04-25,C8515,1,54.68,Third-party Retailer,Europe,21.72,17,3,17,9,13,131,Word of Mouth,5,Cryptocurrency,Not as described,15,6
SN-UHS4OGL,W447LJ,Adobe_W447LJ_Suite,2023-03-08,C8063,1,92.27,Unknown Vendor,South America,28.79,16,2,11,2,7,324,Word of Mouth,5,Cryptocurrency,Product malfunction,19,6
SNT0W9P1TAW,0YDV84,Adobe_0YDV84_Suite,2023-08-01,C6238,3,110.08,Third-party Retailer,South America,28.17,11,2,14,3,1,133,Word of Mouth,2,Cryptocurrency,Product malfunction,20,6
Sn-15DX4FUI,9L20VK,Adobe_9L20VK_Suite,2023-12-13,C1159,1,121.17,Third-party Retailer,North America,24.78,14,1,15,7,15,138,Word of Mouth,2,Cryptocurrency,Not as described,17,6
SN-KUQZ7PAU,Adobe_Prod_558_Version_5,Adobe_Adobe_Prod_558_Version_5_Suite,2023-04-16,C8043,10,242.55,Direct Sales,North America,10.5,5,5,4,7,5,623,Direct Search,8,PayPal,Found cheaper,9,12
SN-XRO502KY,Adobe_Prod_364_Version_10,Adobe_Adobe_Prod_364_Version_10_Suite,2023-09-21,C6592,1,259.95,Authorized Retailer,South America,14.64,5,4,4,7,1,396,Email Marketing,8,Credit Card,Other,5,24
SNNNPAZ6HQI,4HRCJ4,Adobe_4HRCJ4_Suite,2023-09-22,C2837,3,103.39,Unknown Vendor,Africa,25.41,15,1,14,7,8,307,Word of Mouth,3,Cryptocurrency,Not as described,14,6
Sn-QTN0GJN0,ZWAFKR,Adobe_ZWAFKR_Suite,2023-02-22,C4374,10,108.3,Direct Sales,Asia,26.82,17,1,20,1,6,351,Social Media,5,Cryptocurrency,Other,15,6
SN-6JPDE4MR,Adobe_Prod_222_Version_7,Adobe_Adobe_Prod_222_Version_7_Suite,2023-06-12,C2503,7,205.99,Direct Sales,Asia,6.28,10,5,1,7,3,696,Email Marketing,8,Credit Card,Found cheaper,2,12
SN-L71Y4WQE,Adobe_Prod_830_Version_7,Adobe_Adobe_Prod_830_Version_7_Suite,2023-04-24,C8184,5,236.86,Direct Sales,North America,14.02,6,4,2,3,2,407,Email Marketing,8,PayPal,Other,4,24
SN-3NLMD5Z,DWR21H,Adobe_DWR21H_Suite,2023-06-06,C7982,9,111.2,Unknown Vendor,Africa,23.75,13,3,15,2,14,115,Word of Mouth,2,Cryptocurrency,Other,16,6
SN-E70U5176,Adobe_Prod_472_Version_5,Adobe_Adobe_Prod_472_Version_5_Suite,2023-04-11,C7432,5,314.93,Authorized Retailer,Africa,11.78,4,5,5,8,2,537,Email Marketing,8,PayPal,Other,3,24
SN3NEL1RFT5,NSXO2Y,Adobe_NSXO2Y_Suite,2023-03-17,C2023,4,96.88,Third-party Retailer,Africa,26.33,14,1,15,8,3,309,Social Media,2,Cryptocurrency,Other,14,6
SN-FQ40MJE,3O7OSF,Adobe_3O7OSF_Suite,2023-09-19,C7730,7,145.11,Authorized Retailer,Europe,24.28,12,1,15,3,8,214,Social Media,2,Cryptocurrency,Not as described,18,6
Sn-4ZS5BEFA,ZWM952,Adobe_ZWM952_Suite,2023-11-11,C9543,5,103.37,Third-party Retailer,Europe,21.77,11,3,18,1,3,170,Word of Mouth,5,Cryptocurrency,Other,20,6
SN-M7BDTE9,0RYUS0,Adobe_0RYUS0_Suite,2023-09-04,C3350,4,63.16,Authorized Retailer,Asia,26.52,10,1,12,2,3,58,Word of Mouth,1,Cryptocurrency,Product malfunction,18,6
SN-NWQ4IQE3,Adobe_Prod_374_Version_4,Adobe_Adobe_Prod_374_Version_4_Suite,2023-09-30,C5785,6,294.18,Direct Sales,Europe,9.91,3,4,4,7,2,649,Direct Search,9,Credit Card,Found cheaper,1,12
SN7GS9DKUG5,WMLMRH,Adobe_WMLMRH_Suite,2023-02-25,C8653,8,75.17,Unknown Vendor,South America,22.65,14,2,10,3,10,200,Word of Mouth,4,Cryptocurrency,Not as described,16,6
SN-BTBH5TFA,Adobe_Prod_675_Version_8,Adobe_Adobe_Prod_675_Version_8_Suite,2023-08-26,C2598,4,480.7,Authorized Retailer,Asia,8.31,2,5,1,8,1,577,Direct Search,9,PayPal,Found cheaper,7,24
SN11HO6A2A6,7LZQVN,Adobe_7LZQVN_Suite,2023-10-09,C7034,1,80.38,Third-party Retailer,Asia,25.42,20,1,20,3,2,335,Social Media,5,Cryptocurrency,Not as described,13,6
Sn-P3NE4ALC,6E3B8H,Adobe_6E3B8H_Suite,2023-03-31,C2405,7,61.57,Third-party Retailer,Europe,22.2,10,1,16,9,13,182,Word of Mouth,1,Cryptocurrency,Not as described,19,6
SN-A1RROLC,WZG358,Adobe_WZG358_Suite,2023-08-15,C2319,5,91.62,Unknown Vendor,North America,23.12,16,1,11,2,10,119,Social Media,2,Cryptocurrency,Not as described,12,6
Sn-KBFYSALK,VOV06H,Adobe_VOV06H_Suite,2023-06-25,C4049,10,108.73,Unknown Vendor,Europe,25.3,19,2,20,3,10,262,Social Media,2,Cryptocurrency,Product malfunction,13,6
SN-ESI3SG0N,Adobe_Prod_62_Version_5,Adobe_Adobe_Prod_62_Version_5_Suite,2023-12-26,C5083,2,290.7,Direct Sales,Asia,11.71,5,5,3,3,1,585,Email Marketing,10,Credit Card,Found cheaper,6,12
SN-Z5UIF33T,Adobe_Prod_501_Version_8,Adobe_Adobe_Prod_501_Version_8_Suite,2023-10-07,C4257,7,382.26,Direct Sales,North America,12.15,9,4,2,2,2,729,Email Marketing,10,Credit Card,Found cheaper,1,24
SN-TIT8P8GR,Adobe_Prod_359_Version_1,Adobe_Adobe_Prod_359_Version_1_Suite,2023-11-16,C8647,6,370.28,Authorized Retailer,Asia,5.22,4,5,1,9,3,623,Email Marketing,10,Credit Card,Other,4,24
SN-RQWEQ6D,XLOVQL,Adobe_XLOVQL_Suite,2023-12-27,C6040,4,143.95,Unknown Vendor,North America,23.52,13,3,14,9,12,224,Social Media,1,Cryptocurrency,Other,14,6
Sn-GI1WZ08I,CVWJLO,Adobe_CVWJLO_Suite,2023-09-19,C5961,10,144.19,Third-party Retailer,Africa,26.71,19,3,12,9,8,265,Word of Mouth,4,Cryptocurrency,Product malfunction,14,6
SN-10G0SCK,96BOTO,Adobe_96BOTO_Suite,2023-01-13,C3576,9,56.09,Unknown Vendor,Asia,27.18,14,3,16,9,6,210,Social Media,3,Cryptocurrency,Other,11,6
SN-U3KDCY3L,Adobe_Prod_87_Version_1,Adobe_Adobe_Prod_87_Version_1_Suite,2023-09-27,C2305,1,301.6,Authorized Retailer,South America,7.47,10,5,5,8,5,547,Direct Search,7,PayPal,Other,4,12
SN-LWD19S7,KHP99Y,Adobe_KHP99Y_Suite,2023-11-28,C4404,3,135.84,Direct Sales,Europe,28.95,17,2,16,2,1,345,Social Media,4,Cryptocurrency,Not as described,18,6
